最速下降法：
第1次迭代, f(x_1) = 0.7711096853451352, x1 = 0.1612617799292677, x2 = 0.0000000000000000
第1066次迭代, f(x_1066) = 0.0046016959862729, x1 = 0.9321641996535041, x2 = 0.8689287623619799
第1067次迭代, f(x_1067) = 0.0045885659080786, x1 = 0.9323584389762204, x2 = 0.8689291453822394
第1068次迭代, f(x_1068) = 0.0045754733592941, x1 = 0.9323577558413750, x2 = 0.8692897023836471
第1069次迭代, f(x_1069) = 0.0045624211412413, x1 = 0.9325513749882346, x2 = 0.8692900707871697
第1070次迭代, f(x_1070) = 0.0045494074482653, x1 = 0.9325507057746423, x2 = 0.8696495667767534
第1071次迭代, f(x_1071) = 0.0045364335878613, x1 = 0.9327437092558090, x2 = 0.8696499262946326
第1072次迭代, f(x_1072) = 0.0045235013785888, x1 = 0.9327430210768988, x2 = 0.8700082599100341
第1073次迭代, f(x_1073) = 0.0045106084969267, x1 = 0.9329353875039642, x2 = 0.8700086283122683
第1074次迭代, f(x_1074) = 0.0044977570737042, x1 = 0.9329346818343601, x2 = 0.8703658051008977
第1075次迭代, f(x_1075) = 0.0044849446478412, x1 = 0.9331264032567538, x2 = 0.8703661825387651
第1076次迭代, f(x_1076) = 0.0044721700624997, x1 = 0.9331257157292770, x2 = 0.8707223138063541
第1077次迭代, f(x_1077) = 0.0044594345157786, x1 = 0.9333168143946007, x2 = 0.8707226830606356
第1078次迭代, f(x_1078) = 0.0044467352356621, x1 = 0.9333161557480422, x2 = 0.8710778159597421
第1079次迭代, f(x_1079) = 0.0044340745961022, x1 = 0.9335066493547477, x2 = 0.8710781687223770
第1080次迭代, f(x_1080) = 0.0044214515041892, x1 = 0.9335060050897007, x2 = 0.8714322571372380
第1081次迭代, f(x_1081) = 0.0044088668260097, x1 = 0.9336958789659202, x2 = 0.8714326022214971
第1082次迭代, f(x_1082) = 0.0043963176547350, x1 = 0.9336952677048979, x2 = 0.8717857127161182
第1083次迭代, f(x_1083) = 0.0043838065316413, x1 = 0.9338845443211480, x2 = 0.8717860392568565
第1084次迭代, f(x_1084) = 0.0043713326248965, x1 = 0.9338839467394753, x2 = 0.8721381028215311
第1085次迭代, f(x_1085) = 0.0043588969358938, x1 = 0.9340726051313255, x2 = 0.8721384243278527
第1086次迭代, f(x_1086) = 0.0043464960344355, x1 = 0.9340720399039081, x2 = 0.8724895174126139
第1087次迭代, f(x_1087) = 0.0043341328961580, x1 = 0.9342601057183987, x2 = 0.8724898202159115
第1088次迭代, f(x_1088) = 0.0043218061668625, x1 = 0.9342595553554404, x2 = 0.8728398930636455
第1089次迭代, f(x_1089) = 0.0043095166112000, x1 = 0.9344470272379407, x2 = 0.8728401858465002
第1090次迭代, f(x_1090) = 0.0042972660894971, x1 = 0.9344464647848902, x2 = 0.8731891453180036
第1091次迭代, f(x_1091) = 0.0042850526636212, x1 = 0.9346333208801217, x2 = 0.8731894455785475
第1092次迭代, f(x_1092) = 0.0042728775037438, x1 = 0.9346327498622741, x2 = 0.8735373132740367
第1093次迭代, f(x_1093) = 0.0042607390532851, x1 = 0.9348189786771695, x2 = 0.8735376172831790
第1094次迭代, f(x_1094) = 0.0042486326542773, x1 = 0.9348184645565526, x2 = 0.8738846050574057
第1095次迭代, f(x_1095) = 0.0042365627191660, x1 = 0.9350041324051330, x2 = 0.8738848782973482
第1096次迭代, f(x_1096) = 0.0042245304303256, x1 = 0.9350036128952002, x2 = 0.8742307884049708
第1097次迭代, f(x_1097) = 0.0042125343962882, x1 = 0.9351886710106653, x2 = 0.8742310647046889
第1098次迭代, f(x_1098) = 0.0042005737890885, x1 = 0.9351881669821952, x2 = 0.8745759591873602
第1099次迭代, f(x_1099) = 0.0041886496742490, x1 = 0.9353726428781655, x2 = 0.8745762298959947
第1100次迭代, f(x_1100) = 0.0041767646229571, x1 = 0.9353721072432808, x2 = 0.8749199751010055
第1101次迭代, f(x_1101) = 0.0041649156019452, x1 = 0.9355559749868292, x2 = 0.8749202615473106
第1102次迭代, f(x_1102) = 0.0041531056060325, x1 = 0.9355554075706211, x2 = 0.8752628592969680
第1103次迭代, f(x_1103) = 0.0041413312609839, x1 = 0.9357386674587767, x2 = 0.8752631620404977
第1104次迭代, f(x_1104) = 0.0041295953394932, x1 = 0.9357380733755362, x2 = 0.8756046194439173
第1105次迭代, f(x_1105) = 0.0041178953421218, x1 = 0.9359207258204143, x2 = 0.8756049395457430
第1106次迭代, f(x_1106) = 0.0041062327785417, x1 = 0.9359201073278454, x2 = 0.8759452911568908
第1107次迭代, f(x_1107) = 0.0040946052825850, x1 = 0.9361021573389058, x2 = 0.8759456207286043
第1108次迭代, f(x_1108) = 0.0040830130589309, x1 = 0.9361015420722938, x2 = 0.8762849421151633
第1109次迭代, f(x_1109) = 0.0040714558948867, x1 = 0.9362830020148478, x2 = 0.8762852712149317
第1110次迭代, f(x_1110) = 0.0040599325147476, x1 = 0.9362824012787607, x2 = 0.8766236038089483
第1111次迭代, f(x_1111) = 0.0040484441275775, x1 = 0.9364632939065146, x2 = 0.8766239260064395
第1112次迭代, f(x_1112) = 0.0040369928717386, x1 = 0.9364626666066443, x2 = 0.8769611554772956
第1113次迭代, f(x_1113) = 0.0040255758406067, x1 = 0.9366429516874201, x2 = 0.8769614887443506
第1114次迭代, f(x_1114) = 0.0040141903911080, x1 = 0.9366423621886099, x2 = 0.8772978097991513
第1115次迭代, f(x_1115) = 0.0040028392118133, x1 = 0.9368220856101059, x2 = 0.8772981242327229
第1116次迭代, f(x_1116) = 0.0039915202986469, x1 = 0.9368215211896582, x2 = 0.8776334955210023
第1117次迭代, f(x_1117) = 0.0039802358799655, x1 = 0.9370006906393912, x2 = 0.8776337990870838
第1118次迭代, f(x_1118) = 0.0039689881178403, x1 = 0.9370000953031216, x2 = 0.8779680559916955
第1119次迭代, f(x_1119) = 0.0039577744704914, x1 = 0.9371786745846141, x2 = 0.8779683752714279
第1120次迭代, f(x_1120) = 0.0039465964463343, x1 = 0.9371780586637107, x2 = 0.8783015600628730
第1121次迭代, f(x_1121) = 0.0039354519205630, x1 = 0.9373560626231812, x2 = 0.8783018880543381
第1122次迭代, f(x_1122) = 0.0039243441310367, x1 = 0.9373554153583118, x2 = 0.8786339659541417
第1123次迭代, f(x_1123) = 0.0039132694063257, x1 = 0.9375328339668448, x2 = 0.8786343095318827
第1124次迭代, f(x_1124) = 0.0039022303837305, x1 = 0.9375321664548472, x2 = 0.8789653145160901
第1125次迭代, f(x_1125) = 0.0038912242645220, x1 = 0.9377089977445675, x2 = 0.8789656693002437
第1126次迭代, f(x_1126) = 0.0038802504054021, x1 = 0.9377083452219689, x2 = 0.8792957142540038
第1127次迭代, f(x_1127) = 0.0038693095136259, x1 = 0.9378846158461529, x2 = 0.8792960625950936
第1128次迭代, f(x_1128) = 0.0038584006398317, x1 = 0.9378839755296624, x2 = 0.8796251522548719
第1129次迭代, f(x_1129) = 0.0038475243177135, x1 = 0.9380596989856450, x2 = 0.8796254927648071
第1130次迭代, f(x_1130) = 0.0038366829156137, x1 = 0.9380590380895859, x2 = 0.8799535210954115
第1131次迭代, f(x_1131) = 0.0038258738154138, x1 = 0.9382341926187892, x2 = 0.8799538724466198
第1132次迭代, f(x_1132) = 0.0038150997401601, x1 = 0.9382335076878937, x2 = 0.8802808202723150
第1133次迭代, f(x_1133) = 0.0038043582636331, x1 = 0.9384080847392975, x2 = 0.8802811876450020
第1134次迭代, f(x_1134) = 0.0037936498655151, x1 = 0.9384073892901599, x2 = 0.8806071188423591
第1135次迭代, f(x_1135) = 0.0037829735989312, x1 = 0.9385814145072395, x2 = 0.8806074902944770
第1136次迭代, f(x_1136) = 0.0037723326908985, x1 = 0.9385806829902296, x2 = 0.8809323238848782
第1137次迭代, f(x_1137) = 0.0037617235365517, x1 = 0.9387541308731340, x2 = 0.8809327137083414
第1138次迭代, f(x_1138) = 0.0037511470382827, x1 = 0.9387533932092023, x2 = 0.8812565372098483
第1139次迭代, f(x_1139) = 0.0037406025229650, x1 = 0.9389262775021613, x2 = 0.8812569329751077
第1140次迭代, f(x_1140) = 0.0037300884469585, x1 = 0.9389255514980759, x2 = 0.8815798232490838
第1141次迭代, f(x_1141) = 0.0037196058623760, x1 = 0.9390978807651106, x2 = 0.8815802108799493
第1142次迭代, f(x_1142) = 0.0037091500375643, x1 = 0.9390972096048196, x2 = 0.8819023055804922
第1143次迭代, f(x_1143) = 0.0036987254732448, x1 = 0.9392690253596567, x2 = 0.8819026634288487
第1144次迭代, f(x_1144) = 0.0036883307026619, x1 = 0.9392683727112877, x2 = 0.8822238531640206
第1145次迭代, f(x_1145) = 0.0036779667239693, x1 = 0.9394396552931934, x2 = 0.8822241993453512
第1146次迭代, f(x_1146) = 0.0036676334121830, x1 = 0.9394390120152617, x2 = 0.8825444469436146
第1147次迭代, f(x_1147) = 0.0036573309229868, x1 = 0.9396097566397469, x2 = 0.8825447894746034
第1148次迭代, f(x_1148) = 0.0036470598474884, x1 = 0.9396091091365573, x2 = 0.8828640605648057
第1149次迭代, f(x_1149) = 0.0036368193377644, x1 = 0.9397792989784082, x2 = 0.8828644049516520
第1150次迭代, f(x_1150) = 0.0036266066233802, x1 = 0.9397786873992131, x2 = 0.8831828322965808
第1151次迭代, f(x_1151) = 0.0036164242581596, x1 = 0.9399483532301274, x2 = 0.8831831571757429
第1152次迭代, f(x_1152) = 0.0036062695479965, x1 = 0.9399477774754686, x2 = 0.8835007387443367
第1153次迭代, f(x_1153) = 0.0035961451927260, x1 = 0.9401169377453393, x2 = 0.8835010455986871
第1154次迭代, f(x_1154) = 0.0035860536551512, x1 = 0.9401163333861352, x2 = 0.8838175887928219
第1155次迭代, f(x_1155) = 0.0035759918810530, x1 = 0.9402849435324607, x2 = 0.8838179085189090
第1156次迭代, f(x_1156) = 0.0035659615671424, x1 = 0.9402843284199915, x2 = 0.8841334568464075
第1157次迭代, f(x_1157) = 0.0035559612380565, x1 = 0.9404523971641874, x2 = 0.8841337849277150
第1158次迭代, f(x_1158) = 0.0035459918937848, x1 = 0.9404517695049466, x2 = 0.8844483530857831
第1159次迭代, f(x_1159) = 0.0035360519877623, x1 = 0.9406193075765317, x2 = 0.8844486856612248
第1160次迭代, f(x_1160) = 0.0035261442261110, x1 = 0.9406186554990323, x2 = 0.8847622247542619
第1161次迭代, f(x_1161) = 0.0035162659763615, x1 = 0.9407856454287233, x2 = 0.8847625720935369
第1162次迭代, f(x_1162) = 0.0035064176759510, x1 = 0.9407849890464627, x2 = 0.8850751557625631
第1163次迭代, f(x_1163) = 0.0034965987449556, x1 = 0.9409514440687590, x2 = 0.8850755056670360
第1164次迭代, f(x_1164) = 0.0034868079588406, x1 = 0.9409508017651728, x2 = 0.8853872002905071
第1165次迭代, f(x_1165) = 0.0034770462522984, x1 = 0.9411167360768516, x2 = 0.8853875419271524
第1166次迭代, f(x_1166) = 0.0034673119073410, x1 = 0.9411161161949902, x2 = 0.8856983806366922
第1167次迭代, f(x_1167) = 0.0034576062281368, x1 = 0.9412815491957850, x2 = 0.8856987087469164
第1168次迭代, f(x_1168) = 0.0034479310175521, x1 = 0.9412809155835009, x2 = 0.8860085668843124
第1169次迭代, f(x_1169) = 0.0034382845188276, x1 = 0.9414458179850943, x2 = 0.8860089038146421
第1170次迭代, f(x_1170) = 0.0034286677050202, x1 = 0.9414451747615086, x2 = 0.8863178074952802
第1171次迭代, f(x_1171) = 0.0034190792359522, x1 = 0.9416095581470184, x2 = 0.8863181483934323
第1172次迭代, f(x_1172) = 0.0034095213123552, x1 = 0.9416088948774894, x2 = 0.8866260662151302
第1173次迭代, f(x_1173) = 0.0033999914036809, x1 = 0.9417727500752835, x2 = 0.8866264169057869
第1174次迭代, f(x_1174) = 0.0033904909976195, x1 = 0.9417720785478045, x2 = 0.8869333791672624
第1175次迭代, f(x_1175) = 0.0033810187787532, x1 = 0.9419354018832493, x2 = 0.8869337365093967
第1176次迭代, f(x_1176) = 0.0033715726217153, x1 = 0.9419347567685923, x2 = 0.8872398604772849
第1177次迭代, f(x_1177) = 0.0033621547702346, x1 = 0.9420975778298913, x2 = 0.8872402055010655
第1178次迭代, f(x_1178) = 0.0033527631227353, x1 = 0.9420969518850801, x2 = 0.8875454762196034
第1179次迭代, f(x_1179) = 0.0033433996563141, x1 = 0.9422592762649495, x2 = 0.8875458112691099
第1180次迭代, f(x_1180) = 0.0033340641654950, x1 = 0.9422586454749311, x2 = 0.8878501587057536
第1181次迭代, f(x_1181) = 0.0033247565132585, x1 = 0.9424204633317583, x2 = 0.8878504952687335
第1182次迭代, f(x_1182) = 0.0033154778930861, x1 = 0.9424198146544456, x2 = 0.8881538878005178
第1183次迭代, f(x_1183) = 0.0033062264408546, x1 = 0.9425811184797002, x2 = 0.8881542307278977
第1184次迭代, f(x_1184) = 0.0032970034684915, x1 = 0.9425804622434422, x2 = 0.8884566936444394
第1185次迭代, f(x_1185) = 0.0032878074991909, x1 = 0.9427412586202332, x2 = 0.8884570406615143
第1186次迭代, f(x_1186) = 0.0032786402559380, x1 = 0.9427405894548703, x2 = 0.8887585542437967
第1187次迭代, f(x_1187) = 0.0032695000867128, x1 = 0.9429008615933341, x2 = 0.8887589097379189
第1188次迭代, f(x_1188) = 0.0032603845272666, x1 = 0.9429002243225837, x2 = 0.8890596294688432
第1189次迭代, f(x_1189) = 0.0032512958427604, x1 = 0.9430600037865623, x2 = 0.8890599675987415
第1190次迭代, f(x_1190) = 0.0032422301505017, x1 = 0.9430594166805953, x2 = 0.8893599599967067
第1191次迭代, f(x_1191) = 0.0032331909591373, x1 = 0.9432187362205732, x2 = 0.8893602698582416
第1192次迭代, f(x_1192) = 0.0032241794842456, x1 = 0.9432181423480378, x2 = 0.8896593422794737
第1193次迭代, f(x_1193) = 0.0032151945643252, x1 = 0.9433769486575904, x2 = 0.8896596571887676
第1194次迭代, f(x_1194) = 0.0032062340769534, x1 = 0.9433763833512254, x2 = 0.8899579303098110
第1195次迭代, f(x_1195) = 0.0031973000965467, x1 = 0.9435347074810799, x2 = 0.8899582306607878
第1196次迭代, f(x_1196) = 0.0031883910450145, x1 = 0.9435341613100867, x2 = 0.8902556837085703
第1197次迭代, f(x_1197) = 0.0031795081521585, x1 = 0.9436920064645004, x2 = 0.8902559725882407
第1198次迭代, f(x_1198) = 0.0031706518041284, x1 = 0.9436914598140904, x2 = 0.8905525405002670
第1199次迭代, f(x_1199) = 0.0031618214411637, x1 = 0.9438488155438836, x2 = 0.8905528295660791
第1200次迭代, f(x_1200) = 0.0031530184511133, x1 = 0.9438482561418731, x2 = 0.8908484685270798
第1201次迭代, f(x_1201) = 0.0031442415645254, x1 = 0.9440051095063913, x2 = 0.8908487662740696
第1202次迭代, f(x_1202) = 0.0031354906427036, x1 = 0.9440045490089345, x2 = 0.8911435349328569
第1203次迭代, f(x_1203) = 0.0031267652037824, x1 = 0.9441609118741908, x2 = 0.8911438301959048
第1204次迭代, f(x_1204) = 0.0031180645669363, x1 = 0.9441603683745464, x2 = 0.8914377674299195
第1205次迭代, f(x_1205) = 0.0031093897715567, x1 = 0.9443162592109067, x2 = 0.8914380570487305
第1206次迭代, f(x_1206) = 0.0031007425935690, x1 = 0.9443156891359284, x2 = 0.8917310383321450
第1207次迭代, f(x_1207) = 0.0030921209961650, x1 = 0.9444710733649033, x2 = 0.8917313414877878
第1208次迭代, f(x_1208) = 0.0030835239862969, x1 = 0.9444705134717428, x2 = 0.8920234915488933
第1209次迭代, f(x_1209) = 0.0030749522312496, x1 = 0.9446254284706267, x2 = 0.8920237881301253
第1210次迭代, f(x_1210) = 0.0030664073912565, x1 = 0.9446248496842723, x2 = 0.8923150168377939
第1211次迭代, f(x_1211) = 0.0030578874049340, x1 = 0.9447792709307689, x2 = 0.8923153218786392
第1212次迭代, f(x_1212) = 0.0030493927249295, x1 = 0.9447786942681933, x2 = 0.8926056939271334
第1213次迭代, f(x_1213) = 0.0030409227921284, x1 = 0.9449326302219667, x2 = 0.8926059981332262
第1214次迭代, f(x_1214) = 0.0030324762863239, x1 = 0.9449320767087104, x2 = 0.8928955774115394
第1215次迭代, f(x_1215) = 0.0030240547429104, x1 = 0.9450855567469710, x2 = 0.8928958717282479
第1216次迭代, f(x_1216) = 0.0030156603825020, x1 = 0.9450849723788544, x2 = 0.8931844920437556
第1217次迭代, f(x_1217) = 0.0030072908930810, x1 = 0.9452379461536344, x2 = 0.8931848032706733
第1218次迭代, f(x_1218) = 0.0029989439462219, x1 = 0.9452373865383007, x2 = 0.8934726535826655
第1219次迭代, f(x_1219) = 0.0029906216091447, x1 = 0.9453899049420603, x2 = 0.8934729508191248
第1220次迭代, f(x_1220) = 0.0029823237689421, x1 = 0.9453893448361386, x2 = 0.8937599573186212
第1221次迭代, f(x_1221) = 0.0029740500352748, x1 = 0.9455413969630438, x2 = 0.8937602524221295
第1222次迭代, f(x_1222) = 0.0029658019474191, x1 = 0.9455408241780575, x2 = 0.8940463721621997
第1223次迭代, f(x_1223) = 0.0029575777128150, x1 = 0.9456923961140634, x2 = 0.8940466733278315
第1224次迭代, f(x_1224) = 0.0029493777971625, x1 = 0.9456918267573307, x2 = 0.8943319532032608
第1225次迭代, f(x_1225) = 0.0029412018410318, x1 = 0.9458429316796679, x2 = 0.8943322542699059
第1226次迭代, f(x_1226) = 0.0029330506275969, x1 = 0.9458423550379779, x2 = 0.8946166662141757
第1227次迭代, f(x_1227) = 0.0029249233130717, x1 = 0.9459929859114965, x2 = 0.8946169717636507
第1228次迭代, f(x_1228) = 0.0029168197841454, x1 = 0.9459924110417347, x2 = 0.8949005506004678
第1229次迭代, f(x_1229) = 0.0029087400017462, x1 = 0.9461425797967440, x2 = 0.8949008551596895
第1230次迭代, f(x_1230) = 0.0029006846055569, x1 = 0.9461419970340109, x2 = 0.8951835736874444
第1231次迭代, f(x_1231) = 0.0028926527414044, x1 = 0.9462916861936773, x2 = 0.8951838819623139
第1232次迭代, f(x_1232) = 0.0028846416698477, x1 = 0.9462911407512312, x2 = 0.8954658836236589
第1233次迭代, f(x_1233) = 0.0028766542164016, x1 = 0.9464404032365130, x2 = 0.8954661735569308
第1234次迭代, f(x_1234) = 0.0028686929948848, x1 = 0.9464398201010729, x2 = 0.8957472191635797
第1235次迭代, f(x_1235) = 0.0028607553282447, x1 = 0.9465886013408495, x2 = 0.8957475298119355
第1236次迭代, f(x_1236) = 0.0028528427599314, x1 = 0.9465879917452844, x2 = 0.8960276679731322
第1237次迭代, f(x_1237) = 0.0028449533317846, x1 = 0.9467362925593329, x2 = 0.8960279908622113
第1238次迭代, f(x_1238) = 0.0028370857037461, x1 = 0.9467357007163038, x2 = 0.8963073664622248
第1239次迭代, f(x_1239) = 0.0028292409181155, x1 = 0.9468835646072030, x2 = 0.8963076787751921
第1240次迭代, f(x_1240) = 0.0028214208585775, x1 = 0.9468829526106002, x2 = 0.8965861631472194
第1241次迭代, f(x_1241) = 0.0028136236340646, x1 = 0.9470303397223820, x2 = 0.8965864871388609
第1242次迭代, f(x_1242) = 0.0028058477994713, x1 = 0.9470297472875532, x2 = 0.8968642150791655
第1243次迭代, f(x_1243) = 0.0027980947219685, x1 = 0.9471766906678630, x2 = 0.8968645290293175
第1244次迭代, f(x_1244) = 0.0027903633240600, x1 = 0.9471761114264032, x2 = 0.8971414905012054
第1245次迭代, f(x_1245) = 0.0027826542809205, x1 = 0.9473226199934339, x2 = 0.8971417955552069
第1246次迭代, f(x_1246) = 0.0027749694226419, x1 = 0.9473220226985505, x2 = 0.8974178742080173
第1247次迭代, f(x_1247) = 0.0027673071789054, x1 = 0.9474680567896427, x2 = 0.8974181916750033
第1248次迭代, f(x_1248) = 0.0027596652642338, x1 = 0.9474674848724225, x2 = 0.8976935458327281
第1249次迭代, f(x_1249) = 0.0027520457053487, x1 = 0.9476130976795835, x2 = 0.8976938488949033
第1250次迭代, f(x_1250) = 0.0027444504799417, x1 = 0.9476124981614539, x2 = 0.8979683018657998
第1251次迭代, f(x_1251) = 0.0027368775738396, x1 = 0.9477576346699313, x2 = 0.8979686203466116
第1252次迭代, f(x_1252) = 0.0027293244636546, x1 = 0.9477570641548353, x2 = 0.8982423666876325
第1253次迭代, f(x_1253) = 0.0027217933991821, x1 = 0.9479017766756804, x2 = 0.8982426686897905
第1254次迭代, f(x_1254) = 0.0027142840621381, x1 = 0.9479012097482724, x2 = 0.8985156243473267
第1255次迭代, f(x_1255) = 0.0027067966255478, x1 = 0.9480454815358732, x2 = 0.8985159243479170
第1256次迭代, f(x_1256) = 0.0026993311648477, x1 = 0.9480449131572888, x2 = 0.8987880802652597
第1257次迭代, f(x_1257) = 0.0026918872733506, x1 = 0.9481887434995488, x2 = 0.8987883796214399
第1258次迭代, f(x_1258) = 0.0026844652850191, x1 = 0.9481881754131324, x2 = 0.8990597297209543
第1259次迭代, f(x_1259) = 0.0026770651021507, x1 = 0.9483315598965809, x2 = 0.8990600315368686
第1260次迭代, f(x_1260) = 0.0026696858381388, x1 = 0.9483309984265031, x2 = 0.8993306123579967
第1261次迭代, f(x_1261) = 0.0026623281060944, x1 = 0.9484739417186185, x2 = 0.8993309096037906
第1262次迭代, f(x_1262) = 0.0026549895794947, x1 = 0.9484734100046754, x2 = 0.8996007948508123
第1263次迭代, f(x_1263) = 0.0026476725017116, x1 = 0.9486159444043164, x2 = 0.8996010765745570
第1264次迭代, f(x_1264) = 0.0026403786255968, x1 = 0.9486153864239546, x2 = 0.8998700872302933
第1265次迭代, f(x_1265) = 0.0026331060227229, x1 = 0.9487574740496407, x2 = 0.8998703826418913
第1266次迭代, f(x_1266) = 0.0026258566126882, x1 = 0.9487568883861003, x2 = 0.9001385160599015
第1267次迭代, f(x_1267) = 0.0026186283333385, x1 = 0.9488985127268440, x2 = 0.9001388261113640
第1268次迭代, f(x_1268) = 0.0026114186811366, x1 = 0.9488979592504854, x2 = 0.9004062770153294
第1269次迭代, f(x_1269) = 0.0026042301994888, x1 = 0.9490391794237286, x2 = 0.9004065711185233
第1270次迭代, f(x_1270) = 0.0025970641789027, x1 = 0.9490386022738789, x2 = 0.9006731699574713
第1271次迭代, f(x_1271) = 0.0025899189277139, x1 = 0.9491793698586719, x2 = 0.9006734746773953
第1272次迭代, f(x_1272) = 0.0025827926956636, x1 = 0.9491788175514784, x2 = 0.9009393779377858
第1273次迭代, f(x_1273) = 0.0025756870509458, x1 = 0.9493191699265281, x2 = 0.9009396689876843
第1274次迭代, f(x_1274) = 0.0025686010498424, x1 = 0.9493186331588521, x2 = 0.9012048427850180
第1275次迭代, f(x_1275) = 0.0025615356748293, x1 = 0.9494585691778119, x2 = 0.9012051267427157
第1276次迭代, f(x_1276) = 0.0025544913071750, x1 = 0.9494580253730005, x2 = 0.9014695028169216
第1277次迭代, f(x_1277) = 0.0025474674739560, x1 = 0.9495975250968178, x2 = 0.9014697907484082
第1278次迭代, f(x_1278) = 0.0025404628356635, x1 = 0.9495969967730502, x2 = 0.9017334494657406
第1279次迭代, f(x_1279) = 0.0025334785001875, x1 = 0.9497360866439346, x2 = 0.9017337283598442
第1280次迭代, f(x_1280) = 0.0025265151840266, x1 = 0.9497355485567113, x2 = 0.9019965868542196
第1281次迭代, f(x_1281) = 0.0025195720291936, x1 = 0.9498742032301525, x2 = 0.9019968707942939
第1282次迭代, f(x_1282) = 0.0025126478175807, x1 = 0.9498736823670280, x2 = 0.9022590218015807
第1283次迭代, f(x_1283) = 0.0025057435754804, x1 = 0.9500119218391588, x2 = 0.9022592960353751
第1284次迭代, f(x_1284) = 0.0024988577901824, x1 = 0.9500114243042639, x2 = 0.9025207571298783
第1285次迭代, f(x_1285) = 0.0024919919696734, x1 = 0.9501492629038985, x2 = 0.9025210198042780
第1286次迭代, f(x_1286) = 0.0024851470311424, x1 = 0.9501487519262383, x2 = 0.9027816677781211
第1287次迭代, f(x_1287) = 0.0024783222275365, x1 = 0.9502861669724035, x2 = 0.9027819397638506
第1288次迭代, f(x_1288) = 0.0024715189994464, x1 = 0.9502856268947575, x2 = 0.9030417421528758
第1289次迭代, f(x_1289) = 0.0024647354618116, x1 = 0.9504225969654024, x2 = 0.9030420272013177
第1290次迭代, f(x_1290) = 0.0024579691138001, x1 = 0.9504220914008207, x2 = 0.9033011888508330
第1291次迭代, f(x_1291) = 0.0024512222828739, x1 = 0.9505586779845190, x2 = 0.9033014551316400
第1292次迭代, f(x_1292) = 0.0024444967684909, x1 = 0.9505581486358228, x2 = 0.9035597831289481
第1293次迭代, f(x_1293) = 0.0024377907225287, x1 = 0.9506943087188232, x2 = 0.9035600625862480
第1294次迭代, f(x_1294) = 0.0024311055968377, x1 = 0.9506937581409793, x2 = 0.9038175702099708
第1295次迭代, f(x_1295) = 0.0024244398098668, x1 = 0.9508294813928430, x2 = 0.9038178608466209
第1296次迭代, f(x_1296) = 0.0024177911076457, x1 = 0.9508289616807741, x2 = 0.9040747231348046
第1297次迭代, f(x_1297) = 0.0024111615832337, x1 = 0.9509643015426911, x2 = 0.9040749970155875
第1298次迭代, f(x_1298) = 0.0024045525427199, x1 = 0.9509637640362303, x2 = 0.9043310547158714
第1299次迭代, f(x_1299) = 0.0023979625673496, x1 = 0.9510986726194863, x2 = 0.9043313380598597
第1300次迭代, f(x_1300) = 0.0023913895640866, x1 = 0.9510981649502648, x2 = 0.9045867557581367
第1301次迭代, f(x_1301) = 0.0023848353264463, x1 = 0.9512326855108681, x2 = 0.9045870218290276
第1302次迭代, f(x_1302) = 0.0023782994375830, x1 = 0.9512321894291362, x2 = 0.9048417310665343
第1303次迭代, f(x_1303) = 0.0023717824053033, x1 = 0.9513663081430744, x2 = 0.9048419925099745
第1304次迭代, f(x_1304) = 0.0023652839429202, x1 = 0.9513658159783882, x2 = 0.9050959805462432
第1305次迭代, f(x_1305) = 0.0023588040565035, x1 = 0.9514995310814869, x2 = 0.9050962386331646
第1306次迭代, f(x_1306) = 0.0023523424264505, x1 = 0.9514990480345763, x2 = 0.9053495170088102
第1307次迭代, f(x_1307) = 0.0023458993858693, x1 = 0.9516323626216826, x2 = 0.9053497711935267
第1308次迭代, f(x_1308) = 0.0023394745936096, x1 = 0.9516318854002886, x2 = 0.9056023305495109
第1309次迭代, f(x_1309) = 0.0023330684368729, x1 = 0.9517647969953283, x2 = 0.9056025828263801
第1310次迭代, f(x_1310) = 0.0023266799674890, x1 = 0.9517643297219976, x2 = 0.9058544431119588
第1311次迭代, f(x_1311) = 0.0023203100358191, x1 = 0.9518968364287904, x2 = 0.9058546901833757
第1312次迭代, f(x_1312) = 0.0023139557155946, x1 = 0.9518964071038833, x2 = 0.9061059569658978
第1313次迭代, f(x_1313) = 0.0023076194410984, x1 = 0.9520285532580326, x2 = 0.9061061809973465
第1314次迭代, f(x_1314) = 0.0023013036641868, x1 = 0.9520280958440136, x2 = 0.9063566244394186
第1315次迭代, f(x_1315) = 0.0022950059568384, x1 = 0.9521598244545618, x2 = 0.9063568643965834
第1316次迭代, f(x_1316) = 0.0022887272806805, x1 = 0.9521593561894564, x2 = 0.9066065425108354
第1317次迭代, f(x_1317) = 0.0022824667497701, x1 = 0.9522906697580515, x2 = 0.9066067896215944
第1318次迭代, f(x_1318) = 0.0022762222071718, x1 = 0.9522902301693162, x2 = 0.9068558465632722
第1319次迭代, f(x_1319) = 0.0022699954799798, x1 = 0.9524211753307255, x2 = 0.9068560767576372
第1320次迭代, f(x_1320) = 0.0022637878657940, x1 = 0.9524207209848611, x2 = 0.9071043684044601
第1321次迭代, f(x_1321) = 0.0022575978461003, x1 = 0.9525512540280917, x2 = 0.9071046055341624
第1322次迭代, f(x_1322) = 0.0022514239080547, x1 = 0.9525508288550105, x2 = 0.9073522709467201
第1323次迭代, f(x_1323) = 0.0022452676441222, x1 = 0.9526809910132735, x2 = 0.9073524940374379
